Date;From;Message
23/09/2010;Kiera Blanchard;Duncan ordered Perkins' removal from theÿcase, and judge Pat Priest (also a Democrat) was selected by Texas Supreme Court Chief Justice Wallace Jefferson (a Republican) to preside over theÿcase.
27/12/2012;Zubair Preston;Hisÿcaseÿrepresents the longest duration of incarceration for aÿcaseÿthat has been overturned by DNA evidence, and he is the longest-serving inmate to have been exonerated in North Carolina.
27/11/2016;Amber Wood;The compilation was released in the United States in a CD-styleÿcase, and was alternatively released in the United Kingdom in a DVD-styleÿcaseÿunder the title 18 DVD + B Sides.
08/02/2021;Ashton Carson;He was involved in a prominentÿcaseÿover voter intimidation that was later dropped, and was not permitted by the department to testify before U.S. Civil Rights Commission Hearing investigating issues related to theÿcase.
12/01/2021;Gordon Rhodes;"The Lina Joyÿcaseÿsparkled a debate about apostasy in Malaysia, and her failed legal attempt to not have her religion assigned as ""Islam"" on her identity card is considered a landmarkÿcaseÿin Malaysia."
13/04/2019;Isaiah Dickerson;The Feldmannÿcaseÿ(Norwegian: Feldmannsaken) was a controversial criminalÿcaseÿin Norway in which two border guides admitted to killing an elderly Jewish couple during their escape from the Holocaust in Norway, and stealing their money.
23/05/2015;Abdirahman Wright;"The story of HP Kittyhawk is described in a Harvard Business School businessÿcaseÿ""Hewlett-Packard: The Flight of the Kittyhawk"", and is aÿcaseÿstudy in the book The Innovator's Dilemma by Clayton M. Christensen."
17/01/2017;Myrtle Mcmahon;The cover art of the English version has a blue background in place of the Japanese version's green background, and is in a regular CD jewelÿcaseÿinstead of the Japanese version's cardboard gate-foldÿcase.
02/11/2015;Kaine Warner;"It was the first Constitutional Courtÿcaseÿto deal with the recognition of same-sex partnerships, and also the firstÿcaseÿin which a South African court adopted the remedy of ""reading in"" to correct an unconstitutional law."
31/07/2015;Mohsin Brooks;The Court held that determinations of whether or not the right to a speedy trial has been violated must be made on aÿcase-by-caseÿbasis, and set forth four factors to be considered in the determination.
18/03/2011;Talha Sweeney;Theÿcaseÿcontaining the larva either drops to the ground or the larva crawls to the tip of a leaf pulling theÿcaseÿafter it, and finally drops to the ground after hanging a short time suspended by a thread.
22/03/2012;Dawn Ayala;It was the sixth book featuring Sydney homicide detective Scobie Malone, and deals with Malone coming across an oldÿcaseÿof his - the 1966 disappearance of the head of ASIO.
01/02/2022;Roxanne Rush;Anthony Neil Smith is a mystery/crimeÿfiction writer who has had over thirty of his short stories published in literary magazines andÿcrimeÿwriting zines, and has also published numerous novels.
21/05/2018;Emmy Armstrong;The Director-General of the NationalÿCrimeÿAgency is the head of the NationalÿCrimeÿAgency in the United Kingdom, and as such is responsible for ensuring the effective running of the agency.
16/07/2017;Susan Randall;Racketeering is most often associated with organizedÿcrime, and the term was coined by the Employers' Association of Chicago in June 1927 in a statement about the influence of organizedÿcrimeÿin the Teamsters union.
22/02/2020;Demi Wise;Its jurisdiction does not extend to Scotland where fraud and corruption are investigated by Police Scotland through their SpecialistÿCrimeÿDivision, and prosecutions are undertaken by the EconomicÿCrimeÿUnit of the Crown Office and Procurator Fiscal Service.
25/01/2017;Randy Delacruz;The book has been distinguished in Mark Galeotti's Paths of Wickedness and Crimes for its discussion of organizedÿcrimeÿin medieval Europe, and it forms part of the basis of the IEA's overview course onÿCrimeÿand Society.
17/03/2017;Phyllis Bean;It was used primarily as a holdingÿjailÿfor detainees awaiting transport to facilities in Fort Smith, and is now operated by the South Sebastian County Historical Society as a local history museum known as the OldÿJailÿMuseum.
11/03/2020;Talia Davies;Gahima has been in exile since falling out with Kagame, and was recently sentenced to 20 years inÿjailÿby a Rwandan court on charges that may have been politically motivated.
28/01/2020;Lillie Cantu;Robert Lumpkin was a notorious and prominent slave trader who bought and sold slaves throughout the south, and turned Lumpkin'sÿJailÿinto the largest slave holding facility for well over twenty years.
12/11/2016;Kitty Cummings;The countyÿjailÿwas moved to a new sheriff's office complex a mile southeast of the courthouse, and an annex to the courthouse was added on the square and dedicated in 2004.
20/03/2015;Tyrell Morton;The gang was established in 1993 at the Rikers Islandÿjailÿcomplex in New York City, and operates on the East Coast as well as the south-side of the United States.
26/01/2012;Inaya Buchanan;Brent Bennett is a former US Army paratrooper who was convicted by an Afghan court on 15 September 2004 for participating in torture and kidnapping, and for running a privateÿjailÿin Kabul.
21/02/2011;Rico Garza;The death sentences of two of the defendants were commuted by Illinois governor Richard J. Oglesby to terms of life in prison, and another committed suicide inÿjailÿrather than face the gallows.
08/07/2019;Hafsa Burns;The accompanying music video for the song was directed by Peter Zavadil, and is about a man who gets into dangerous situations and sent toÿjailÿonly for his girlfriend to bail him out.
04/03/2018;Georgina Figueroa;Kern was an active member of the American Civil Liberties Union (ACLU), and a law suit she filed for an inmate led to El Paso County to construct a newÿjailÿwith better conditions for inmates.
28/12/2014;Gabriela England;Her stepmother was convicted in a closed-door trial for failure to report the crimes she was aware of and for sexual abuse against one of Lydia's children, and was given a four-year suspendedÿjailÿsentence.
23/09/2016;Honey Munoz;Theÿjailÿwas funded in 1996 by a bond measure defined by Multnomah County Commissioners in 1996 in Resolution 96-122, and promoted by District Attorney Mike Schrunk and law enforcement as a response to Measure 11.
31/10/2013;Sufyaan Buckley;Rudasingwa has been in exile in the U.S. since 2004 after falling out with President Kagame, and was recently sentenced to 24 years inÿjailÿby a Rwandan court on charges that may have been politically motivated.
15/05/2017;Carlo Brandt;In late 1971 he was sentenced to one week in AdelaideÿJailÿas a conscientious non-complier with the National Service Act, and in February 1972 he was sentenced to eighteen months for refusing to report at Keswick Barracks.
27/08/2014;Kathleen Walker;The PerthÿJailÿ(often referred to as the Old PerthÿJail) was aÿjailÿ(jail) built in Perth, the state capital of Western Australia, between 1854 and 1856 to house convicts and other prisoners.
04/01/2018;Ophelia Douglas;"The Charles StreetÿJailÿ(built 1851), also known as the ""Suffolk CountyÿJail"", is an infamous formerÿjailÿ(later renovated into a luxury hotel) located at 215 Charles Street, Boston, Massachusetts."
13/09/2013;Ibrahim Haney;"Theÿjailÿhoused its first prisoners before construction even finished, as the Genoaÿjailÿburned down; one prisoner was briefly chained to a post until the newÿjailÿcould accommodate him."
01/01/2014;Phoenix Hancock;It was opened in the 1930s as a replacement for the second BarnstableÿJail, which was constructed in 1821, itself a replacement for the OldÿJail, the oldest woodenÿjailÿin America.
11/08/2022;Harry Oneill;Lower Lake StoneÿJail, in Lower Lake, California, is a one-roomÿjailÿclaimed to be the smallestÿjailÿin the United States, was erected in 1876 of stone locally quarried and reinforced with iron.
25/08/2022;Ahmad Hebert;In England, his jails include the old CityÿJailÿin Oxford (demolished 1870), the New BoroughÿJailÿin Liverpool, county jails in Gloucester and Northleach, the CountyÿJailÿin Ipswich, and Salop Prison in Shrewsbury.
28/09/2012;Floyd Gordon;The WentworthÿJailÿis an heritage-listed formerÿjailÿand school building and now museum (jailÿbuilding) and old wares shop (jailers residence) located at 112 Beverley Street, Wentworth, in the Wentworth Shire, New South Wales, Australia.
29/11/2018;Janet Hart;Soon after the 1823ÿjailÿwas constructed, the 1808ÿjailÿwas transformed into a jailer's house, so that he and his family could move in and care for the prisoners.
12/06/2015;Dylan Mays;The 2017 Kidapawanÿjailÿsiege occurred when about a hundred unidentified armed men attacked the North Cotabato ProvincialÿJailÿin Kidapawan, Philippines at around midnight freeing at least 158 inmates.
05/03/2021;Carter Mills;"Lumpkin'sÿJail, also known as ""the Devil's half acre"" was a holding facility, or slaveÿjail, located in Richmond, Virginia, just three blocks from where the capitol building sits today."
29/11/2017;Leila Parker;Such instances, called containers, partitions, virtualization engines (VEs) or jails (FreeBSDÿjailÿor chrootÿjail), may look like real computers from the point of view of programs running in them.
07/03/2021;Lincoln Greene;Theÿjailÿwas deemed significant for its fireproof construction, designed by a Georgia architect with construction by Dalton, Georgia's Manly IronÿJailÿWorks, a company that still existed in 1979.
04/02/2021;Fletcher Reilly;Lake County Sheriff's House andÿJail, also known as the Sheriff's House, is a historicÿjailÿand residence located at 232 South Main Street in Crown Point, Lake County, Indiana.
14/06/2019;Cody Combs;The Beauregard Tourist Commission has a vested interest in theÿjailÿand other historic sites and has been involved in many aspects of securing a continued future of theÿjail.
12/03/2015;Jasmine Gillespie;"After being detained, Arif Yunus was sentenced to 7 years inÿjail; his wife, Leyla Yunus, was sentenced to 8.5 years inÿjailÿon charges that include fraud and tax evasion."
04/07/2021;Usman Gonzales;"In 1927, Darby and Tarlton sang ""down in the levee"" in place of ""down in the valley""; the version sung by Lead Belly in 1934 substitutes ""Shreveportÿjail"" for ""Birminghamÿjail""."
31/05/2012;Bridie Thornton;Harsul CentralÿJailÿalso known as Aurangabad CentralÿJailÿis one of 8 central jails of Maharashtra state of India and among the 5 most important central jails in the state.
25/06/2021;Maja Zamora;"By this point, theÿjailÿno longer had modern eating or restroom facilities; while this was considered a deterrent to crime by some residents, theÿjailÿstopped housing criminals after 1961 nonetheless."
01/05/2020;Catherine Sullivan;Bareilly CentralÿJailÿhoused various political prisoners during the British Raj era, including Yashpal, whose marriage on 7 August 1936 while imprisoned there was the first such ceremony in an Indianÿjail.
27/09/2012;Henri Andersen;Theÿjailÿwas built on Water Street, which was considered Tonopah's red light district at the time, because county leaders wished to keep theÿjailÿout of the town's more prominent areas.
25/02/2017;Blake Tran;TheÿJailÿserved as the countyÿjailÿin the 19th and 20th century for criminals who were convicted of a crime or were awaiting a trial at the courthouse across the street.
10/10/2022;Penny Valdez;Support branch employees are non-sworn employees who work in criminal records, warrants, finance, human resources, admin, and inÿjailÿsupport roles supervisingÿjailÿinmates who work in food and laundry services.
30/04/2011;Soraya Lee;Built in Warrenton in 1808, the sixthÿjailÿin Fauquier County, Virginia ran for only fifteen years before a newÿjailÿwas erected behind it after a lawsuit with the Commonwealth of Virginia.
01/02/2016;Ammar Keith;Initially, a few members went toÿjailÿfor 6 months on a felony conviction, a few went toÿjailÿfor 3 months on a misdemeanor conviction, and a few had their charges dismissed.
31/12/2018;Laila Fitzgerald;Alfred Blount, an African American and a Chattanooga native, was taken from hisÿjailÿcell in the countyÿjailÿand brutally beaten, stabbed, and hung from the Walnut Street Bridge in Chattanooga, Tennessee.
19/08/2020;Kirsten Coleman;Old DubboÿJailÿis an heritage-listed formerÿjailÿand now museum and tourist attraction at 90 Macquarie Street, Dubbo in the Dubbo Regional Council local government area of New South Wales, Australia.
22/11/2015;Will Mcconnell;An open prison (openÿjail) is anyÿjailÿin which the prisoners are trusted to serve their sentences with minimal supervision and perimeter security and are often not locked up in their prison cells.
06/06/2010;Charlie Moon;Essex CountyÿJailÿis aÿjailÿlocated in the University Heights section of Newark, Essex County, New Jersey, United States, and was added to the National Register of Historic Places on September 3, 1991.
27/02/2015;Maariyah West;"It was officially known as ""BrisbaneÿJail"" but was commonly known as ""Boggo RoadÿJail"" because Annerley Road became known as ""Boggo Road"" due to its poor condition, after originally being named ""Bolgo Road""."
27/03/2014;Aliza Atkinson;"The Iowa was hired by Mormon supporters of Joseph Smith, Jr. as part of a plan to rescue him fromÿjailÿin June 1843; the excursion was canceled after Smith was murdered inÿjail."
24/04/2010;Myles Knowles;The WaterfordÿJailÿDisaster occurred early morning on March 4th, 1943 when the wall of the old cityÿjailÿat Ballybricken in Waterford, Ireland, collapsed onto nearby houses, killing nine people and injuring seventeen.
29/07/2015;Aidan Elliott;They were held in the PresidencyÿJailÿin Alipore before the trial, where Narendranath Goswami, approver and crown-witness, was shot dead by two fellow accused Kanailal Dutta and Satyendranath Bose within theÿjailÿpremises.
20/02/2010;Tanya Valentine;It remained the largestÿjailÿin Pakistan for about 134 years since 1873 with regard to the area and agricultural land until construction of High Security Prison and Punjab Prison Staff Traning College adjacent to thisÿjail.
23/01/2015;Hussain Thomson;Ghozt Crew have filmed at Monte Cristo Homestead Junee, Studley Park House, MaitlandÿJail, Old DubboÿJail, Macquarie Arms Hotel, Picton, Beechworth Lunatic Asylum, The Bright Oriental Hotel as well as many more famous Australian haunted locations.
10/11/2010;Elodie Lester;Theÿjailÿopened in 1838 as the Hastings CountyÿJailÿ(it was renamed when the province took control of county jails) and closed in 1971, being replaced by the Quinte Detention Center in the town of Napanee.
26/12/2013;Scarlett Perez;Built on the original walls of a former cityÿjail, circa 1744, the house retains many vestiges of its previous incarnation such as outdoor and sub-basementÿjailÿcells and a freestanding kitchen house with a massive hearth.
03/08/2020;Curtis Glenn;It is the largestÿjailÿin the district and 2nd largest in Tamil Nadu after puzhal central prison, Convicts sentenced to imprisonment are confined in theÿjailÿfrom various districts of the Presidency as well as from Burma.
08/11/2011;Zack Fletcher;It was used primarily as a holdingÿjailÿfor detainees awaiting transport to facilities in Fort Smith, and is now operated by the South Sebastian County Historical Society as a local history museum known as the OldÿJailÿMuseum.
29/11/2015;Lilia Graham;Its most notable projects include the Municipal Court, Hall of Justice,ÿjail, and couorthouse annex at the Franklin County Government Center in Columbus, Ohio, and the courthouse,ÿjail, and county sheriff headquarters at the Justice Center Complex in Cleveland, Ohio.
28/06/2021;Kyron Tucker;The BellevilleÿJail, (orÿJail), located in Belleville, Ontario, Canada, was a maximum-security facility housing offenders awaiting trial, sentencing, transfer to federal and provincial correctional facilities, immigration hearings or deportation, and less frequently, those serving short sentences (under 90 days).
03/08/2016;Nannie Chambers;This is the largestÿjailÿin the state of Maharashtra, and also one of the largest prisons in South Asia, housing over 5000 prisoners (2017) spread over various barracks and security zones, besides an openÿjailÿjust outside its premises.
30/10/2015;Mina Hampton;He ended up developing an extremely successful resort, Old Sweet Springs, and tried to entice the circuit court to relocate there by finishing a courthouse andÿjailÿon the property.
24/07/2020;Brogan Patterson;At his trial, Arvandus was found guilty and was stripped on the spot of all the privileges pertaining to his prefecture, and consigned to the commonÿjailÿto await execution.
04/06/2014;Eloise Gates;After a criminal escapes fromÿjail, his attempts to recover his stashed loot end in failure, as he is shunned by the criminal community and hunted down by the police.
20/11/2010;Fiona Reese;After herÿjailÿsentence, Ajitha parted ways with the armed struggle movement and is currently a human rights activist and social reformer with an active presence in Kerala's social milieu.
22/03/2013;Everly Ibarra;It was a weary road ballad in which the first four lines were written while he was inÿjailÿafter a bar fight after signing to Atlantic Records in 1997.
24/03/2018;Yusuf Dale;His tenure was notable for the development of prisoner education and rehabilitation programs, by construction of three majorÿjailÿfacilities and by expansion of powers of the Office of Sheriff.
24/03/2010;Ivan Griffith;However, they soon realize that the cannibals are not their biggest threat when they discrover an old enemy that has escaped fromÿjailÿand is bent on having his revenge.
07/06/2019;Lee Reeves;Designed in the Georgian Renaissance architectural style by John Lee Archer, what remains of theÿjailÿis now managed by the National Trust of Australia (Tasmania) as a historic site.
21/08/2013;Zachary Peterson;He was though sentenced, by Lord Chief Justice Sir Declan Morgan, to three monthsÿjailÿfor contempt of court, with the possibility of release after 28 days if he apologized.
07/11/2017;Kabir Carver;He was arrested in June 2015 for inciting racial hatred against Jews, for which he was found guilty in December, receiving aÿjailÿsentence of three years and four months.
26/10/2015;Roberta Powell;His album, Vital Nonsense, was released on February 10, 2009 as an introduction into his new life of sobriety detailing his memoirs on politics, religion,ÿjailÿlife, love and tragedy.
16/12/2012;Sachin Perkins;His best known shot is one of Paris Hilton crying in the back of a police car after she was sentenced to serve time inÿjailÿfor driving while intoxicated.
02/03/2010;Brooklyn Neal;He is serving life imprisonment for killing five family members of a woman in 1993 who got him intoÿjailÿfor rape in 1991 in which he was later acquitted.
27/08/2016;Aaron Booker;For a long time, officials from the City of Dallas have advocated for the closure of theÿjailÿin order to use the land for the Trinity River Corridor Project.
17/12/2013;Humaira Proctor;Although the story of this mobisode series revolve around the conspiracy that put Lincoln Burrows inÿjail, the series does not feature any of the actors from the TV series.
23/11/2019;Nettie Mahoney;Although U.S. President Barack Obama signed an order to eliminate black sites run by the Central Intelligence Agency in January 2009, that order did not apply to the blackÿjail.
16/11/2019;Finnian Dominguez;Clandestinos is a 2007 Spanish film directed by Antonio Hens about a young gay male coming out ofÿjail, and the search for his boyfriend and later involvement in ETA.
16/04/2021;Zac Barton;Machal Lalung was from Tiwa (Lalung) tribe of Assam from the village of Khalagaon (now Silchang) in Morigaon, Assam, who spent 54 years in an Indianÿjailÿwithout facing trial.
06/01/2013;Alexa Bennett;"The accompanying music video for ""D.D.D."" was shot in Japan: it features Kumi and Soulhead dancing in a cave, with individual scenes of them with men in aÿjailÿcell."
11/11/2012;Henrietta Ross;The Waushara County Courthouse, Waushara County Sheriff's Residence andÿJailÿis a pair of buildings in Wautoma, Wisconsin that are together listed on the U.S. National Register of Historic Places.
07/02/2021;Millicent Kane;The museum is located at 915 Walnut Street in the Historical Triangle which also includes the 1896 countyÿjailÿand 1890 courthouse at Walnut Street and Ferris Street (Hwy 16).
07/02/2010;Liana Velez;"Several cities including Columbia, as well as the University of Missouri, have their own police departments; however, all departments house prisoners in the Boone CountyÿJail, operated by the BCSD."
05/02/2012;Molly Humphrey;Several Islamic militants were later charged and sentenced toÿjailÿterms in 2007 and 2010 for their roles in organizing the bombing, among other sectarian attacks in the Poso region.
11/12/2019;Miles Rojas;Most recently, he was sentenced to five years inÿjailÿfor grand theft for creating a fake sales order at the Sarasota, Florida copy machine office in which he worked.
21/04/2010;Neo Montoya;The museum is housed in what was once a Victorian courtroom,ÿjailÿand police station, and is therefore a historic site where an individual could be arrested, sentenced and executed.
27/07/2013;Siena Finch;The castle bailey was redeveloped in a neoclassical style in the 18th century as a center for county administration in Yorkshire, and was used as aÿjailÿand debtors' prison.
26/12/2010;Linda Sharpe;MuleÿJailÿis bounded to the north by the Ross Barnett Reservoir, to the east and south by the Pearl River, and to the west by the Jackson Country Club.
19/09/2020;Benjamin Hahn;The last executions in Darwin were held at Fannie BayÿJailÿin 1952, when Jerry Coci and Jonus Novotny, Czechoslovakian immigrants, were hanged for the murder of a taxi driver.
28/11/2021;Vanessa Padilla;Over the course of later chapters, he discovers a hidden island populated by prehistoric creatures, gets thrown into another Africanÿjail, invents animal alphabets, and defeats at least two armies.
12/05/2022;Amy Rose;In August 2015 Thorne was sentenced to between four and eight monthsÿjailÿfor traveling on an aircraft under a false name, and using fake ID to obtain his ticket.
27/06/2017;Malachi Moss;It is an adventurous love story about a high school rich kid serving in the Marine Corps to avoidÿjail, who eventually falls in love with an actress with schizophrenia.
22/11/2021;Tamara Harrington;It was shot in Nashville, Tennessee like its predecessors Dr. Otto and the Riddle of the Gloom Beam, Ernest Goes to Camp, Ernest Saves Christmas, and Ernest Goes toÿJail.
18/08/2014;Larissa Lawson;The gunfighter Diamondfield Jack Davis and his associate, Jack Gleason, were arrested, but the latter was released and Diamondfield Jack was pardoned in 1902, after serving six years inÿjail.
02/01/2021;Samira Tapia;On May 21, 2012, Ravi was sentenced to 30 days inÿjail, 3 years probation, 300 hours of community service, a $10,000 fine, and counseling on cyberbullying and alternate lifestyles.
07/04/2011;Liana Herman;Since the decision issued, both state and federal courts have wrestled with the scope of the opinion and how it might apply in contexts outside excessive force within aÿjail.
23/09/2022;Flynn Lane;Jim was the only guy I knew who could help me restore the credibility and integrity of an office embarrassed because the three previous insurance commissioners had gone toÿjailÿ...
08/03/2013;Richie Miller;In August 2007, he was arrested and taken toÿjailÿon contempt of court charges for failing to produce documents deemed critical to the functioning of the juvenile court system.
10/06/2014;Alex Manning;The five tracks from the original EP were recorded throughout February 1994, the first session starting at a mere 3 hours after bassist Todd Kiessling was bailed out ofÿjail.
06/10/2016;Jonah Soto;"Members Only was originally a duo group between Jahseh ""XXXTentacion"" Onfroy and Stokeley ""Ski Mask the Slump God"" Goulbourne after meeting and becoming acquaintances while both serving sentences inÿjail."
02/09/2010;Janet Hicks;Officers who are sentenced and have not been given a reduction in rank from officer have the right to serve their time in a special section of the militaryÿjail.
05/12/2015;Kasey Diaz;The courthouse andÿjailÿfor the county were located in St. Andrews, but now serve only as a tourist attraction, as the civic functions have been transferred to St. Stephen.
10/05/2018;Josef Armstrong;The department also operates the countyÿjailÿsystem, provides marshal services for the county superior courts, and has numerous other specialized divisions to serve the citizens of San Bernardino County.
20/09/2016;Cindy Murphy;The department is responsible for the care and custody of inmates within Denver'sÿjailÿsystem, for the city's court services, and other responsibilities assigned by the executive director of safety.
03/05/2011;Samson Roy;The gang was a favorite of the media at the time because of their sensational actions, which included bank robberies,ÿjailÿbreaks, beautiful women, gun fights, manhunts, and daring captures.
23/08/2018;Sadia Winters;"Vladimir Bukovsky summarized it as follows: ""Samizdat: I write it myself, edit it myself, censor it myself, publish it myself, distribute it myself, and spendÿjailÿtime for it myself."""
30/07/2010;Rhys Wyatt;By 1996, it was one of the oldest operating jails in Missouri, but it was retired in September of that year when theÿjailÿmoved to a newer and larger facility.
29/06/2018;Cerys Mooney;Gahima has been in exile since falling out with Kagame, and was recently sentenced to 20 years inÿjailÿby a Rwandan court on charges that may have been politically motivated.
03/08/2017;Halle Acevedo;Enver Sekiraqa quickly climbed to the top of organized crime, and was arrested several times for illegal weapons and other charges, but never received a sentence exceeding six months inÿjail.
13/07/2018;Erika Collins;After a year inÿjail, a psychological assessment deemed that she was unfit to stand trial, and she was committed to a life sentence at the State Lunatic Hospital at Auburn.
11/07/2013;Cayden Warren;Dan Park (born May 4, 1968) is a Swedish street artist who has been arrested, fined, and sentenced toÿjailÿfor hate speech in Swedish Courts several times for his art.
14/07/2012;Freya Orr;In 1976, Zulfikar Ali Bhutto's government asked the club to move its races away from theÿJailÿRoad course, but it remained there until 1980, when it was compelled to leave.
18/04/2010;Eoin Chapman;Get Out ofÿJailÿFree card is an element of the board game Monopoly which has become a popular metaphor for something that will get one out of an undesired situation.
12/01/2022;Ismael Steele;He was being held in theÿjailÿof Camporgiano when he was singled out for retaliation with five other people, also held for political reasons, under the order of General Carloni.
21/09/2022;Millicent Cameron;Because of a requirement in the original deed for the land, one of the original 1720 courthouse'sÿjailÿcells must remain in the basement of this or any subsequent court building.
28/08/2021;Steven Berg;His attempt to receive political asylum in Hungary was rejected, and he was deported back to Germany, where he was arrested and put back inÿjailÿto finish serving his sentence.
14/01/2012;Amir King;Hossain and an associate, Yassin M. Aref, were convicted of conspiring to aid a terrorist group, supporting a foreign terrorist organization, and money-laundering, and sentenced to 15 years inÿjail.
20/12/2012;Carol Blanchard;However, in August, the Obama administration restricted the time that detainees could be held at the secretÿjail, and another like it at Balad Air Base in Iraq, to two weeks.
31/08/2022;Lillie Cannon;In addition to being used as the main entrance and exit to the naval station, the gate was also used as aÿjailÿduring both the Spanish and the American occupation.
25/06/2010;Bernice Summers;In March 2010, Lil Wayne began serving an 8-monthÿjailÿsentence in New York after being convicted of criminal possession of a weapon stemming from an incident in July 2007.
05/08/2015;Eileen Roberts;In addition to the interstate exchange, this index holds millions of fingerprint identification cards for criminals who have committed a serious enough crime to go toÿjailÿfor over 24 hours.
09/09/2012;Halima Parker;In 1916, Sanger opened the first birth control clinic in the United States, but the clinic was immediately shut down by police, and Sanger was sentenced to 30 days inÿjail.
13/05/2013;Marvin Dotson;As such, the penalties can include the following: a maximum of one year inÿjail, a six-month loss of license, six demerit points, and a fine of up to $2,500.
22/10/2020;Joyce Mcintosh;Boundaries were recorded for Trenton Township as of March 2, 1720, a courthouse andÿjailÿwere constructed in Trenton around 1720 and the Freeholders of Hunterdon County met annually in Trenton.
01/12/2012;Magnus Small;Duran was sentenced to 30 days inÿjailÿand began her sentence on December 18, 2015.She was previously a New Mexico State Senator from District 40, first elected in 1992.
18/02/2019;Mabel Sparks;Several days later, Baker died in hospital and a mob of 50 men with their coats turned inside out and handkerchiefs over their faces gathered outside theÿjailÿat 12:40am.
20/09/2014;Philip Colon;Pattillo was also seen on an episode of Nickelodeon's TV series, iCarly (and was said to be Sam's cousin that was not inÿjail) and has videos and recordings on iCarly.com.
20/05/2015;Janice Obrien;"Martin has alleged Michael Vick's innocence, stating, ""From the beginning, Mr. Vick has accepted responsibility for his actions, and his self-surrender (and going toÿjailÿearly) further demonstrates that acceptance."""
18/08/2020;Marley Kelly;Sheik Mohamed Abdi Aware was notorious for sentencing many Islamists from Al-Shabaab and other rebel movements as well as tens of pirates and human traffickers and putting them intoÿjail.
01/11/2021;Rebecca West;The Oconee County Cage is a formerÿjailÿon wheels that is located at Browns Square Drive outside of the Oconee Heritage Center in Walhalla, South Carolina, USA in Oconee County.
10/02/2013;Jessie Guerrero;Theÿjailÿhoused prisoners involved with three violent conflicts in the 1920s: the Herrin massacre, the Klan War, and a gang rivalry between the Shelton Brothers Gang and Charles Birger's gang.
02/04/2017;Faye Bray;It was released on August 10, 2004 by Def Jam, while Shyne was in the middle of serving a 10-yearÿjailÿsentence for a 1999 shooting in New York City.
08/08/2011;Peter Burnett;It follows the story of Arjun (Mohanlal) who takes up the business empire of his father Ananthan (Madhu) who has been sent toÿjailÿand his clashes with his father's rivals.
17/01/2011;Jaya Campbell;It forms a part of a five building complex, located in the Lancaster Court House Historic District, which also includes the OldÿJailÿ(1820), Clerk's Office (c. 1797), and Lancaster House.
18/09/2015;Pedro Hobbs;Previously, as soliciting is an administrative offense, arrested prostitutes are given a nominal fine and released, while those procuring are prosecuted, potentially being punished by up to eight years inÿjail.
02/04/2017;Zayd Blackburn;"Prior to 1910, the only countyÿjailÿwas in Genoa, the county seat; however, since Gardnerville was several miles from Genoa, it resorted to housing prisoners in the local judge's granary."
10/08/2018;Aleeza Strickland;The sites are the Yadkin College Cemetery, the site of the 1881 Yadkin College building, site of the Methodist Episcopal Church, and site of the post office, blacksmith shop andÿjail.
04/08/2013;Gianluca Sykes;The building was added to the National Register of Historic Places in 1996.It is now used as the Kewaunee County Historical SocietyÿJailÿMuseum and features exhibits of local history.
22/12/2017;Maisy Ward;Prison literature is a literary genre characterized by literature that is written while the author is confined in a location against his will, such as a prison,ÿjailÿor house arrest.
19/08/2015;Benjamin Cobb;The Milam County Courthouse, located at 100 South Fannin Avenue, was built in 1890-1892, while the Milam CountyÿJail, now known as the Milam County Museum, was built in 1895.
30/05/2021;Mason Gonzalez;The Grafton Intake and Transient Center, formerly the Grafton Correctional Center and the GraftonÿJail, an Australian medium security prison for males and females, is located in Grafton, New South Wales.
